"sample","median_delGcox","median_delGd","median_lambda"
"ECA2_0007_10_p1.corems",-144.998658395875,-2928.85355229835,0.0406227067597142
"ECA2_0008_01_p1.corems",-144.859260707981,-2886.87661242969,0.0416376992967652
"ECA2_0008_02_p1.corems",-144.859260707981,-2756.56892571924,0.0439504617650766
"ECA2_0008_03_p1.corems",-145.196138453723,-2833.17661242969,0.0422722102775766
"ECA2_0008_04_p1.corems",-145.493385170565,-2766.4766488118,0.0422722102775766
"ECA2_0008_05_p1.corems",-145.196138453723,-2932.69198585058,0.0405643346478758
"ECA2_0008_06_p1.corems",-145.392395040743,-2910.79584739685,0.0406227067597142
"ECA2_0008_07_p1.corems",-145.990700353672,-2934.71508236402,0.0393966270816771
"ECA2_0008_08_p1.corems",-145.788578627269,-2949.73814249536,0.0393299870393049
"ECA2_0008_09_p1.corems",-145.196138453723,-2878.99198585058,0.0409674778934608
"ECA2_0008_10_p1.corems",-145.408246664005,-2903.92276907447,0.0406227067597142
"ECA2_0009_01_p1.corems",-145.196138453723,-2863.96892571924,0.0409681150090654
"ECA2_0009_02_p1.corems",-145.201522789246,-2863.96892571924,0.0409674778934608
"ECA2_0009_03_p1.corems",-145.489214957007,-2785.33814249536,0.0424468655583629
"ECA2_0009_04_p1.corems",-144.803954685446,-2802.75739565358,0.0426030655003267
"ECA2_0009_05_p1.corems",-144.859260707981,-2670.79970894313,0.0439828751733889
"ECA2_0009_06_p1.corems",-144.998658395875,-2972.6458292058,0.0404097737536415
"ECA2_0009_07_p1.corems",-145.20330248558,-2880.0035341073,0.0406299424734216
"ECA2_0009_08_p1.corems",-144.923427897647,-2802.38429914013,0.0422722102775766
"ECA2_0009_09_p1.corems",-145.408246664005,-2858.10739565358,0.0410591890944505
"ECA2_0009_10_p1.corems",-145.196138453723,-2841.0612390088,0.0422056505771814
"ECA2_0010_01_p1.corems",-144.291887662522,-2903.92276907447,0.0422056505771814
"ECA2_0010_02_p1.corems",-142.905369782679,-2670.79970894313,0.0473135145169049
"ECA2_0010_03_p1.corems",-142.730351394364,-2697.75358868046,0.0468416288075124
"ECA2_0010_04_p1.corems",-142.85942542143,-2647.89202223269,0.0476768002499133
"ECA2_0010_05_p1.corems",-143.160424168009,-2716.61508236402,0.0463936995640941
"ECA2_0010_06_p1.corems",-142.332677614918,-2656.78819706852,0.0476768002499133
"ECA2_0010_07_p1.corems",-143.874541143505,-2961.19198585058,0.0416376992967652
"ECA2_0010_08_p1.corems",-144.532929497052,-2950.74969075208,0.0406734363129135
"ECA2_0010_09_p1.corems",-143.634250723466,-2941.85351591625,0.0420785721061039
"ECA2_0010_10_p1.corems",-143.76440803432,-2695.73049216702,0.045810893975902
"ECA2_0011_01_p1.corems",-144.343830621484,-2844.63045578491,0.0431676803130679
"ECA2_0011_02_p1.corems",-144.378006785493,-2860.13049216702,0.0425443651028395
"ECA2_0011_03_p1.corems",-143.627595191477,-2951.7612390088,0.0422252573575341
"ECA2_0011_04_p1.corems",-143.080041846758,-2905.94586558791,0.0431676803130679
"ECA2_0011_05_p1.corems",-143.634250723466,-2856.08429914013,0.0437277467197783
"ECA2_0011_06_p1.corems",-141.880552219317,-2877.98043759385,0.0443692318022164
"ECA2_0011_07_p1.corems",-143.287164561186,-2881.01508236402,0.0434553668030793
"ECA2_0011_08_p1.corems",-142.993476270027,-2858.10739565358,0.0439504617650766
"ECA2_0011_09_p1.corems",-142.741743449033,-2941.85351591625,0.0426338959349211
"ECA2_0011_10_p1.corems",-144.291887662522,-2926.83045578491,0.0416376992967652
"ECA2_0013_01_p1.corems",-144.050754118201,-2926.83045578491,0.0416627241479679
"ECA2_0013_02_p1.corems",-143.708011424262,-2810.26892571924,0.0439504617650766
"ECA2_0013_03_p1.corems",-144.050754118201,-2951.7612390088,0.0416376992967652
"ECA2_0013_04_p1.corems",-143.531394980589,-2951.7612390088,0.0422252573575341
"ECA2_0013_05_p1.corems",-144.050754118201,-2905.94586558791,0.0425443651028395
"ECA2_0013_06_p1.corems",-143.511749725014,-2926.83045578491,0.0423834356115839
"ECA2_0013_07_p1.corems",-143.76440803432,-2858.10739565358,0.0435954438721933
"ECA2_0013_08_p1.corems",-144.703997802977,-2841.0612390088,0.0422722102775766
"ECA2_0013_09_p1.corems",-142.905369782679,-2798.81508236402,0.0445551193405829
"ECA2_0013_10_p1.corems",-143.900683908269,-2883.03817887746,0.0422722102775766
"ECA2_0016_01_p1.corems",-141.105480112572,-2880.0035341073,0.0445578542014664
"ECA2_0016_02_p1.corems",-141.682233451198,-2795.24586558791,0.0459131416497877
"ECA2_0016_03_p1.corems",-141.818166934592,-2860.13049216702,0.04456058906235
"ECA2_0016_04_p1.corems",-141.873601863386,-2835.19970894313,0.0450344440866296
"ECA2_0016_05_p1.corems",-142.332677614918,-2881.01508236402,0.0439658610883338
"ECA2_0016_06_p1.corems",-142.905369782679,-2905.94586558791,0.0433422320818193
"ECA2_0016_07_p1.corems",-142.862948140622,-2842.07278726552,0.0439658610883338
"ECA2_0016_08_p1.corems",-142.457175912257,-2858.10739565358,0.0439658610883338
"ECA2_0016_09_p1.corems",-142.509034628262,-2814.31511874613,0.0445551193405829
"ECA2_0016_10_p1.corems",-141.759985447157,-2834.18816068641,0.0454694855734155
"ECA2_0017_01_p1.corems",-144.441522789246,-2577.14586558791,0.0463754418500072
"ECA2_0017_02_p1.corems",-144.755606016984,-2693.70739565358,0.0444264220425171
"ECA2_0017_03_p1.corems",-145.196138453723,-2841.0612390088,0.0420348748140433
"ECA2_0017_04_p1.corems",-144.859260707981,-2647.89202223269,0.0454705145541385
"ECA2_0017_05_p1.corems",-144.559813822878,-2649.91511874613,0.0457581673759333
"ECA2_0017_06_p1.corems",-144.904441139864,-2733.02278726552,0.0440340382289253
"ECA2_0017_07_p1.corems",-145.196138453723,-2748.4189439103,0.0439658610883338
"ECA2_0017_08_p1.corems",-144.07139916213,-2782.40737746252,0.0439743681308613
"ECA2_0017_09_p1.corems",-145.577933232231,-2881.01508236402,0.0407051218021528
"ECA2_0017_10_p1.corems",-144.111706152657,-2670.79970894313,0.0459131416497877
"ECA2_0018_01_p1.corems",-142.523575004171,-2858.10739565358,0.0440340382289253
"ECA2_0018_02_p1.corems",-142.993476270027,-2835.19970894313,0.0440340382289253
"ECA2_0018_03_p1.corems",-142.914343675216,-2768.49974532524,0.0457581673759333
"ECA2_0018_04_p1.corems",-142.786381438563,-2814.31511874613,0.0443847236783991
"ECA2_0018_05_p1.corems",-142.72688424729,-2695.73049216702,0.0470297019407553
"ECA2_0018_06_p1.corems",-142.862948140622,-2794.23431733119,0.0450344440866296
"ECA2_0018_07_p1.corems",-142.592992236627,-2858.10739565358,0.0440340382289253
"ECA2_0018_09_p1.corems",-143.758799351485,-2720.66127539091,0.045810893975902
"ECA2_0018_10_p1.corems",-143.287164561186,-2718.63817887746,0.0463936995640941
"ECA2_0019_01_p1.corems",-143.769215476751,-2957.62276907447,0.0420785721061038
"ECA2_0019_02_p1.corems",-144.241651507455,-2918.9458292058,0.0420348748140433
"ECA2_0019_04_p1.corems",-143.874541143505,-2970.62273269236,0.0422056505771814
"ECA2_0019_05_p1.corems",-142.718959339694,-2833.17661242969,0.04456058906235
"ECA2_0019_07_p1.corems",-143.900683908269,-2883.03817887746,0.0437277467197783
"ECA2_0019_08_p1.corems",-143.83258567334,-2858.10739565358,0.0432805430645136
"ECA2_0019_09_p1.corems",-143.76440803432,-2791.40743203568,0.0451562287096275
"ECA2_0019_10_p1.corems",-144.050754118201,-2812.29202223269,0.0440340382289253
"ECA2_0021_01_p15.corems",-143.634250723466,-2720.66127539091,0.0455621961705006
"ECA2_0021_02_p15.corems",-143.287164561186,-2670.79970894313,0.0468416288075124
"ECA2_0021_03_p15.corems",-143.36890785241,-2670.79970894313,0.0468114643563214
"ECA2_0021_04_p15.corems",-142.759730903775,-2672.82280545657,0.0470297019407553
"ECA2_0021_05_p15.corems",-143.287164561186,-2487.53821525957,0.0501766642676169
"ECA2_0021_06_p15.corems",-143.218919734091,-2766.4766488118,0.0451562287096275
"ECA2_0021_07_p15.corems",-140.900947195515,-2697.75358868046,0.0478667499664713
"ECA2_0021_08_p15.corems",-142.218139181365,-2858.10739565358,0.0439658610883338
"ECA2_0021_09_p15.corems",-142.176646271883,-2789.38433552224,0.0454705145541385
"ECA2_0021_10_p15.corems",-143.448762744564,-2810.26892571924,0.0439828751733888
"ECA2_0022_01_p1.corems",-144.378006785493,-2971.63428094908,0.04096875212467
"ECA2_0022_02_p1.corems",-144.378006785493,-3066.29967256102,0.0404097737536415
"ECA2_0022_03_p1.corems",-144.285215320828,-3018.46120262669,0.0406417508236742
"ECA2_0022_04_p1.corems",-142.332677614918,-2670.79970894313,0.0462707920057115
