richness,sample
7657,PAPI_ESI_neg_Papi6_Ex27_0103_15ppm_20140805_000001.corems
6867,PAPI_ESI_neg_Papi6_Ex27_0119_12ppm_20140805_000001.corems
7158,PAPI_ESI_neg_S10_De_Bay_20111109_20ppm_20120229_000001.corems
7947,PAPI_ESI_neg_S101_De_Bay_20111110_20ppm_20120229_000001.corems
7726,PAPI_ESI_neg_S151_De_Bay_20111110_20ppm_20120229_000001.corems
7911,PAPI_ESI_neg_S16_De_Bay_20111108_20ppm_20120229_000001.corems
8262,PAPI_ESI_neg_S2_De_Bay_20111108_20ppm_20120228_000001.corems
7514,PAPI_ESI_neg_S21_De_Bay_20111108_20ppm_20120229_000001.corems
8641,PAPI_ESI_neg_S24_De_Bay_20111109_20ppm_20120229_000001.corems
7962,PAPI_ESI_neg_S3_De_Bay_20111110_20ppm_20120229_000001.corems
8558,PAPI_ESI_neg_S6_De_Bay_20111108_20ppm_20120229_000001.corems
8085,PAPI_ESI_neg_S6_De_Bay_20111109_20ppm_20120229_000001.corems
7026,SKB_masslistsESI_neg_SKB_MGC1800001_A_201907814_000001.corems
5487,SKB_masslistsESI_neg_SKB_MGC1800002_A_201907814_000001.corems
6359,SKB_masslistsESI_neg_SKB_MGC1800003_A_201907814_000001.corems
6402,SKB_masslistsESI_neg_SKB_MGC1800004_A_201907815_000001.corems
5994,SKB_masslistsESI_neg_SKB_MGC1800005_A_201907814_000001.corems
6154,SKB_masslistsESI_neg_SKB_MGC1900799_A_201907815_000001.corems
6034,SKB_masslistsESI_neg_SKB_MGC1900799_A1_201907816_000001.corems
5730,SKB_masslistsESI_neg_SKB_MGC1900800_A_201907815_000001.corems
5533,SKB_masslistsESI_neg_SKB_MGC1900800_B_201907815_000001.corems
5504,SKB_masslistsESI_neg_SKB_MGC1900801_A_201907814_000001.corems
5562,SKB_masslistsESI_neg_SKB_MGC1900801_B_201907815_000001.corems
5167,SKB_masslistsESI_neg_SKB_MGC1900802_A_201907815_000001.corems
5696,SKB_masslistsESI_neg_SKB_MGC1900802_A1_201907816_000001.corems
5490,SKB_masslistsESI_neg_SKB_MGC1900803_A_201907815_000001.corems
5492,SKB_masslistsESI_neg_SKB_MGC1900803_B_201907815_000001.corems
5918,SKB_masslistsESI_neg_SKB_MGC1900804_A_201907815_000001.corems
5816,SKB_masslistsESI_neg_SKB_MGC1900804_B_201907815_000001.corems
5652,SKB_masslistsESI_neg_SKB_MGC1900805_A_201907815_000001.corems
5625,SKB_masslistsESI_neg_SKB_MGC1900805_B_201907816_000001.corems
6050,SKB_masslistsESI_neg_SKB_MGC1900806_A_201907815_000001.corems
6486,SKB_masslistsESI_neg_SKB_MGC1900806_A1_201907816_000001.corems
5975,SKB_masslistsESI_neg_SKB_MGC1900807_A_201907815_000001.corems
5959,SKB_masslistsESI_neg_SKB_MGC1900807_B_201907815_000001.corems
6034,SKB_masslistsESI_neg_SKB_MGC1900808_A_201907815_000001.corems
6350,SKB_masslistsESI_neg_SKB_MGC1900808_B_201907815_000001.corems
5901,SKB_masslistsESI_neg_SKB_MGC1900809_A_201907815_000001.corems
5509,SKB_masslistsESI_neg_SKB_MGC1900809_B_201907816_000001.corems
6376,SKB_masslistsESI_neg_SKB_MGC1900810_A1_201907816_000001.corems
5371,SKB_masslistsESI_neg_SKB_MGC1900811_A_201907814_000001.corems
5658,SKB_masslistsESI_neg_SKB_MGC1900811_B_201907816_000001.corems
6628,SKB_masslistsESI_neg_SKB_MGC1900812_A_201907815_000001.corems
6756,SKB_masslistsESI_neg_SKB_MGC1900812_A1_201907816_000001.corems
6179,SKB_masslistsESI_neg_SKB_MGC1900813_A_201907815_000001.corems
5207,SKB_masslistsESI_neg_SKB_MGC1900813_B_201907816_000001.corems
3990,SO245_masslistsSO245.SPE099_110_01_1441.corems
4104,SO245_masslistsSO245.SPE100_021_01_1353.corems
3845,SO245_masslistsSO245.SPE103_105_01_1431.corems
4298,SO245_masslistsSO245.SPE104_020_01_1349.corems
3978,SO245_masslistsSO245.SPE105_122_01_1469.corems
3902,SO245_masslistsSO245.SPE106_023_01_1357.corems
4025,SO245_masslistsSO245.SPE107_137_01_1279.corems
4022,SO245_masslistsSO245.SPE108_125_01_1253.corems
4034,SO245_masslistsSO245.SPE109_146_01_1299.corems
3880,SO245_masslistsSO245.SPE110_019_01_1127.corems
3994,SO245_masslistsSO245.SPE111_102_01_1425.corems
4088,SO245_masslistsSO245.SPE112_018_01_1345.corems
4000,SO245_masslistsSO245.SPE113_107_01_1435.corems
3710,SO245_masslistsSO245.SPE114_142_01_1291.corems
3878,SO245_masslistsSO245.SPE116_118_01_1237.corems
4042,SO245_masslistsSO245.SPE117_022_01_1355.corems
3962,SO245_masslistsSO245.SPE118_113_01_1449.corems
4033,SO245_masslistsSO245.SPE119_024_01_1359.corems
3705,SO245_masslistsSO245.SPE122_114_01_1451.corems
3561,SO245_masslistsSO245.SPE123_026_01_1143.corems
3338,SO245_masslistsSO245.SPE124_015_01_1119.corems
3756,SO245_masslistsSO245.SPE125_027_01_1145.corems
3658,SO245_masslistsSO245.SPE126_109_01_1439.corems
3927,SO245_masslistsSO245.SPE127_014_01_1117.corems
3857,SO245_masslistsSO245.SPE130_103_01_1427.corems
3787,SO245_masslistsSO245.SPE131_032_01_1159.corems
3761,SO245_masslistsSO245.SPE132_106_01_1433.corems
4081,SO245_masslistsSO245.SPE133_005_01_1097.corems
4052,SO245_masslistsSO245.SPE134_033_01_1161.corems
4241,SO245_masslistsSO245.SPE135_030_01_1151.corems
4258,SO245_masslistsSO245.SPE136_143_01_1293.corems
3974,SO245_masslistsSO245.SPE141_115_01_1453.corems
3966,SO245_masslistsSO245.SPE142_038_01_1171.corems
4155,SO245_masslistsSO245.SPE144_017_01_1343.corems
3741,SO245_masslistsSO245.SPE145_018_01_1125.corems
3979,SO245_masslistsSO245.SPE146_112_01_1224.corems
3652,SO245_masslistsSO245.SPE147_019_01_1347.corems
3911,SO245_masslistsSO245.SPE149_149_01_1305.corems
3832,SO245_masslistsSO245.SPE150_134_01_1273.corems
3180,SO245_masslistsSO245.SPE151_036_01_1385.corems
3406,SO245_masslistsSO245.SPE152_035_01_1383.corems
