dist.unique,nDistance_Results,n_Sample_Peak_Mat,n_ratio
SO245_masslistsSO245.SPE118_113_01_1449.corems,111104,3962,28.0424028268551
SO245_masslistsSO245.SPE119_024_01_1359.corems,115010,4033,28.5172328291594
SO245_masslistsSO245.SPE122_114_01_1451.corems,107332,3705,28.9695006747638
SO245_masslistsSO245.SPE123_026_01_1143.corems,103840,3561,29.160348216793
SO245_masslistsSO245.SPE124_015_01_1119.corems,97681,3338,29.2633313361294
SO245_masslistsSO245.SPE125_027_01_1145.corems,111646,3756,29.7247071352503
SO245_masslistsSO245.SPE126_109_01_1439.corems,106914,3658,29.2274466921815
SO245_masslistsSO245.SPE127_014_01_1117.corems,111349,3927,28.3547237076649
SO245_masslistsSO245.SPE130_103_01_1427.corems,113422,3857,29.4067928441794
SO245_masslistsSO245.SPE131_032_01_1159.corems,108819,3787,28.7348824927383
SO245_masslistsSO245.SPE132_106_01_1433.corems,109039,3761,28.9920233980324
SO245_masslistsSO245.SPE133_005_01_1097.corems,119139,4081,29.1935800049008
SO245_masslistsSO245.SPE134_033_01_1161.corems,117323,4052,28.9543435340573
SO245_masslistsSO245.SPE135_030_01_1151.corems,122909,4241,28.9811365244046
SO245_masslistsSO245.SPE136_143_01_1293.corems,122520,4258,28.7740723344293
SO245_masslistsSO245.SPE141_115_01_1453.corems,114930,3974,28.9204831404127
SO245_masslistsSO245.SPE142_038_01_1171.corems,115545,3966,29.1338880484115
SO245_masslistsSO245.SPE144_017_01_1343.corems,118370,4155,28.488567990373
SO245_masslistsSO245.SPE145_018_01_1125.corems,110276,3741,29.4776797647688
SO245_masslistsSO245.SPE146_112_01_1224.corems,112222,3979,28.2035687358633
SO245_masslistsSO245.SPE147_019_01_1347.corems,106978,3652,29.2929901423877
SO245_masslistsSO245.SPE149_149_01_1305.corems,115636,3911,29.5668626949629
SO245_masslistsSO245.SPE150_134_01_1273.corems,109628,3832,28.6085594989562
SO245_masslistsSO245.SPE151_036_01_1385.corems,94312,3180,29.6578616352201
SO245_masslistsSO245.SPE152_035_01_1383.corems,102694,3406,30.1509101585437
SO245_masslistsSO245.SPE153_040_01_1393.corems,97627,3305,29.5391830559758
SO245_masslistsSO245.SPE154_135_01_1275.corems,109283,3707,29.4801726463448
SO245_masslistsSO245.SPE155_144_01_1295.corems,106929,3651,29.2875924404273
SO245_masslistsSO245.SPE157_148_01_1303.corems,111417,3793,29.3743738465595
SO245_masslistsSO245.SPE158_030_01_1371.corems,96441,3206,30.081409856519
SO245_masslistsSO245.SPE159_123_01_1249.corems,122714,4163,29.4773000240211
SO245_masslistsSO245.SPE161_138_01_1281.corems,112411,3856,29.1522302904564
SO245_masslistsSO245.SPE162_103_01_1204.corems,112428,3852,29.1869158878505
SO245_masslistsSO245.SPE163_039_01_1391.corems,101844,3479,29.2739292900259
SO245_masslistsSO245.SPE164_136_01_1277.corems,111770,3951,28.2890407491774
SO245_masslistsSO245.SPE165_026_01_1363.corems,112004,3838,29.1829077644607
SO245_masslistsSO245.SPE166_108_01_1437.corems,117815,4010,29.3802992518703
SO245_masslistsSO245.SPE167_121_01_1245.corems,104137,3466,30.0452971725332
SO245_masslistsSO245.SPE168_101_01_1423.corems,117380,3955,29.6788874841972
SO245_masslistsSO245.SPE169_126_01_1255.corems,111463,3777,29.5109875562616
SO245_masslistsSO245.SPE170_127_01_1257.corems,124192,4224,29.4015151515152
SO245_masslistsSO245.SPE171_147_01_1301.corems,128072,4427,28.9297492658685
SO245_masslistsSO245.SPE172_041_01_1401.corems,95808,3236,29.6069221260816
SO245_masslistsSO245.SPE173_128_01_1259.corems,110886,3802,29.1651762230405
SO245_masslistsSO245.SPE174_104_01_1429.corems,109698,3720,29.4887096774194
SO245_masslistsSO245.SPE175_130_01_1263.corems,109803,3779,29.0560994972215
SO245_masslistsSO245.SPE176_032_01_1377.corems,104835,3531,29.6898895497026
SO245_masslistsSO245.SPE177_033_01_1379.corems,101395,3436,29.5096041909197
STL_0001_ICR.1_p1.corems,45252,1707,26.5096660808436
STL_0001_ICR.2_p08.corems,37150,1417,26.2173606210303
STL_0001_ICR.3_p1.corems,53404,1998,26.7287287287287
STL_0002_ICR.1_p08.corems,61632,2306,26.7267996530789
STL_0002_ICR.2_p08.corems,69909,2513,27.8189415041783
STL_0002_ICR.3_p08.corems,63302,2260,28.0097345132743
STL_0003_ICR.1_p1.corems,20297,1004,20.2161354581673
STL_0003_ICR.2_p1.corems,55878,1967,28.4077275038129
STL_0003_ICR.3_p1.corems,40604,1470,27.621768707483
STL_0004_ICR.1_p08.corems,55213,1982,27.8572149344097
STL_0004_ICR.2_p08.corems,69112,2621,26.3685616177032
STL_0004_ICR.3_p08.corems,65497,2469,26.5277440259214
STL_0005_ICR.1_p08.corems,75019,2805,26.7447415329768
STL_0005_ICR.2_p1.corems,55420,1931,28.7001553599171
STL_0005_ICR.3_p08.corems,69209,2559,27.0453302071122
STL_0006_ICR.1_p08.corems,56438,2126,26.5465663217309
